[2022-02-17 14:12:43,886][prefect.FlowRunner][INFO] - Beginning Flow run for 'segmentation'
[2022-02-17 15:10:30,494][prefect.TaskRunner][INFO] - Task 'insert_clusters_to_df': Starting task run...
[2022-02-17 15:10:30,645][prefect.TaskRunner][INFO] - Task 'insert_clusters_to_df': Finished task run for task with final state: 'Success'
[2022-02-17 15:10:30,709][prefect.TaskRunner][INFO] - Task 'plot_clusters': Starting task run...
[2022-02-17 15:10:31,802][prefect.TaskRunner][INFO] - Task 'plot_clusters': Finished task run for task with final state: 'Success'
[2022-02-17 15:10:31,865][prefect.TaskRunner][INFO] - Task 'save_model': Starting task run...
[2022-02-17 15:10:32,004][prefect.TaskRunner][INFO] - Task 'save_model': Finished task run for task with final state: 'Success'
[2022-02-17 15:10:32,009][prefect.FlowRunner][INFO] - Flow run SUCCESS: all reference tasks succeeded
[2022-02-17 17:03:26,066][prefect.FlowRunner][INFO] - Beginning Flow run for 'segmentation'
[2022-02-17 17:03:26,179][prefect.TaskRunner][INFO] - Task 'initialize_wandb': Starting task run...
[2022-02-17 17:03:26,464][prefect.TaskRunner][INFO] - Task 'initialize_wandb': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:26,576][prefect.TaskRunner][INFO] - Task 'get_pca_model': Starting task run...
[2022-02-17 17:03:26,659][prefect.TaskRunner][INFO] - Task 'get_pca_model': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:26,776][prefect.TaskRunner][INFO] - Task 'reduce_dimension': Starting task run...
[2022-02-17 17:03:26,873][prefect.TaskRunner][INFO] - Task 'reduce_dimension': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:26,942][prefect.TaskRunner][INFO] - Task 'get_3d_projection': Starting task run...
[2022-02-17 17:03:26,977][prefect.TaskRunner][INFO] - Task 'get_3d_projection': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:27,044][prefect.TaskRunner][INFO] - Task 'get_best_k_cluster': Starting task run...
[2022-02-17 17:03:43,671][matplotlib.axes._base][INFO] - <class 'matplotlib.axis.YAxis'>
[2022-02-17 17:03:44,317][prefect.TaskRunner][INFO] - Task 'get_best_k_cluster': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:44,379][prefect.TaskRunner][INFO] - Task 'get_clusters_model': Starting task run...
[2022-02-17 17:03:46,107][prefect.TaskRunner][INFO] - Task 'get_clusters_model': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:46,171][prefect.TaskRunner][INFO] - Task 'save_model': Starting task run...
[2022-02-17 17:03:46,312][prefect.TaskRunner][INFO] - Task 'save_model': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:46,379][prefect.TaskRunner][INFO] - Task 'predict': Starting task run...
[2022-02-17 17:03:46,710][prefect.TaskRunner][INFO] - Task 'predict': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:46,823][prefect.TaskRunner][INFO] - Task 'insert_clusters_to_df': Starting task run...
[2022-02-17 17:03:46,965][prefect.TaskRunner][INFO] - Task 'insert_clusters_to_df': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:47,029][prefect.TaskRunner][INFO] - Task 'plot_clusters': Starting task run...
[2022-02-17 17:03:48,145][prefect.TaskRunner][INFO] - Task 'plot_clusters': Finished task run for task with final state: 'Success'
[2022-02-17 17:03:48,149][prefect.FlowRunner][INFO] - Flow run SUCCESS: all reference tasks succeeded
